BAJAJ-AUTO,BAJAJ-FINSV,BAJAJ-FINANCE
1426.2,512.1,697.9
1486.05,514.7,687.05
1456.85,500.4,708.4
1454.55,497.75,701.45
1456.35,497.15,693.1
1452.4,501.65,673.45
1437.75,496.5,637.65
1427.15,495.25,637.6
1481.25,506.75,657.95
1544.85,501.2,639.5
1516.05,496.45,631.95
1517.4,501.5,622.2
1503.7,577.75,611.85
1573.55,537,615.25
1573.55,547.5,628.85
1628.1,544.1,624.9
1667,551.45,625.35
1643.7,549.45,629.25
1640.45,547.4,633.1
1625,553.2,652.9
1625.45,551.65,643.45
1573.35,552.35,634.55
1600.15,547.9,632.4
1629.3,541.7,631.85
1628.6,566.3,630
1626.15,552.2,641
1601.95,565.65,637.65
1628.1,561.2,645.8
1603.1,544,628.5
1542.35,536.65,653.75
1548.6,525.75,637.85
1509,535.05,636.35
1545.4,531.9,633.2
1515.4,528.3,632.05
1539,524.4,634.7
1535.95,512.95,638.45
1519.5,503.35,635.85
1493.6,501,622.55
1497.95,507.15,629.8
1503.1,514.4,634.35
1553.55,526.45,641.6
1578.75,531.4,657.8
1586.25,528.95,654.65
1586.3,525.4,670.75
1633.4,532.4,689.5
1654.35,527.65,674.3
1607.65,545.25,677.9
1636.65,559.3,670.45
1613.55,545.4,661.05
1641.3,540.25,647.35
1694.4,532.5,668
1751.65,542.6,674.9
1757.6,541.25,696.5
1756.7,541.9,685
1729.9,539.35,691
1713.5,539.8,689
1718.6,541.45,704.1
1727.9,537.05,711.55
1744.75,535.1,696.6
1724,525.3,692.75
1715,518.15,668.15
1745.55,517.55,648.7
1737.85,506.5,645.15
1716.25,502,645.15
1725.7,500.4,646.8
1718.2,484.55,649.25
1692.4,481.4,649.55
1623.25,480.25,645.6
1600.1,470.25,648.3
1600.05,461.75,634.95
1654.8,453.2,634
1639.25,456.3,645.2
1617.9,460.35,636.8
1649.1,424,630.35
1669,435.75,637.2
1703.85,447.3,648.85
1714.55,448.85,652.3
1700.3,450.6,663.25
1724.45,438.05,659.9
1728.1,424.55,662.95
1670.35,421.2,655.1
1631.1,404.6,652.7
1659.85,402.65,649.25
1649.1,404.9,639.9
1651.65,419.45,640.35
1650.75,405.55,633.1
1641.1,400.1,632.85
1600.65,408.15,638.45
1614.3,414.75,639.45
1611.75,422.65,631.55
1598.55,422.8,633.35
1611.15,438.3,639.75
1625.5,438.25,612.75
1609.85,442.3,611
1602.35,429.25,606.15
1591.4,420.05,603.4
1475.5,436.2,612.95
1494.5,418.3,605.3
1425.55,420.55,607.05
1468.6,421.8,590
1456.75,424.7,601.2
1448.45,429.15,610.05
1422.35,436.65,627.25
1429.5,438.5,651.4
1456.9,455.8,649.55
1475.6,453.55,647.1
1430.75,454.65,649.9
1423.55,467.9,650.05
1452.5,468.85,677.25
1454.75,469.95,681.05
1467.75,453.55,684.8
1561.35,449.6,693.8
1574.55,452,720.85
1580.65,455.7,730.05
1587.85,457.65,726.9
1539.75,436.35,722.1
1550.2,449.2,750.65
1601.3,458.95,777.4
1610.8,455.9,773.8
1607.45,494.25,791.95
1611.85,488.45,787.4
1640.7,493.4,790.2
1636.85,504.45,822.6
1649.45,514.05,822
1701.7,507.15,811.7
1736.05,508.6,804.3
1748.15,513.1,797.95
1732.35,526.15,795.1
1747.7,529.85,785.5
1811.6,544.05,806.25
1804.35,580.55,818.75
1809.25,578.9,802.8
1803.5,585,784.05
1785.8,579.7,799.5
1762.9,579.45,761.5
1706.1,582.95,773.95
1766.5,641.85,790.5
1801.6,637.2,773.25
1774.2,633.75,781.65
1749.95,630.05,778.3
1737.35,626.85,762.3
1701.9,609.4,767.25
1703.95,603.9,770.05
1733.2,609.8,794.4
1752.85,614.75,802.2
1787.75,630.95,808.65
1782.95,622.15,819.05
1764.85,617.35,789.6
1736.1,613.1,780.7
1721.65,601.6,786.4
1710.75,610.15,791.15
1688.8,612.1,813.05
1734,601.2,815.05
1688.6,609.3,814.35
1709.35,598.85,810.05
1661.9,598.5,804.8
1662,607,799.75
1637.8,605.85,795.7
1652.7,611.5,814.35
1678.8,635.95,834.7
1655.2,664.7,864.1
1647.4,705.05,875.25
1633.45,709.3,865.55
1650.75,711.95,868
1647.55,692.7,845.15
1633.75,687.6,867.35
1637.85,673.9,878.15
1639.45,665.15,883.05
1649.5,672.7,884.75
1672.35,708.1,889.3
1716.05,700.35,892.3
1729.7,703.6,892.1
1708.7,702.25,869.1
1675.7,699.35,848.95
1648.05,697.9,849.5
1654.7,704.05,841.25
1606.45,737.9,863.25
1582.4,738.05,861
1591.05,731.7,873.8
1624.45,734.75,889.55
1592.15,748.55,874.65
1560.5,702.75,845.85
1502.95,720.3,893.8
1518.1,717.25,879
1489.95,725.5,855.85
1518.2,719.05,858
1503.75,710,859.15
1558.15,715.75,852.55
1586.9,718,876.1
1608.65,709.4,850.3
1614.35,705.35,860.25
1575.35,682.9,869.85
1528.5,699.8,859.45
1517.45,687.6,861.4
1507.25,661.45,847.8
1487,683.25,851.6
1500.65,675.75,847.05
1492.75,673.35,843.95
1515.9,668.8,842.25
1529.25,663.55,849.1
1521,655.7,849.4
1511.4,653.9,845.15
1498.8,636.1,847.25
1496.45,638.3,848.7
1492.3,653.2,852.9
1541.1,655.15,854.6
1544,658.95,861.3
1527.35,654.55,870.05
1563.45,662.55,878.75
1570.95,662.1,877.45
1560.5,646.95,870.05
1549.9,649.1,891.1
1527.3,648.5,861.9
1542.45,652.45,862.25
1535.4,653.7,862.5
1535.2,642.65,871.95
1536.25,638.45,869.6
1545.4,639.1,873
1548.4,638.25,874.5
1558.35,643.95,876.15
1558.75,680.55,903.15
1550.25,684.35,912.45
1572.85,675,908.5
1558.1,692.05,936.75
1561.95,695.85,918.55
1583.2,684.9,906.55
1555.95,677.25,907.55
1539.2,662.8,912
1505.7,677.2,926.45
1524.4,681.75,939.1
1511.5,696.3,961.35
1490.6,688.45,966.15
1499.05,683.3,963.25
1486.45,681,970.75
1445.05,713.2,987.7
1520.9,731.3,1019.85
1547.8,713.95,1007.9
1592.1,722.35,1054.65
1561.4,729.35,1080
1559.25,733.85,1069.25
1560.95,717.35,1047.65
1582.45,720.75,1027.6
1583.25,727.8,1020.1
1604.9,744.6,1037.7
1604.3,743.9,1044.75
1615.15,741.15,1043.1
1625.15,745.25,1049.2
1610.4,769.7,1035.75
1636.45,805.7,1064.05
1667.15,830.8,1065.65
1678.55,885.5,1106.35
1691.15,898.85,1111
1676.2,912.45,1089.85
1708.5,942.7,1082.35
1688.6,916.15,1095.7
1692.75,895,1081.35
1696.4,937,1075.65
1712.35,926.2,1081.6
1724.65,881.9,1080.95
1710.2,824.95,1081.2
1711.4,791.75,1084.9
1721.35,796.05,1065.4
1691.15,765.05,1037.6
1624.85,787.4,1058.2
1631.2,796.2,1049.05
1617.2,800.75,1047.45
1662.5,806.45,1053.95
1647.45,805.35,1046.9
1644.95,783.05,1044.25
1641.85,783.35,1070.55
1688.2,787.4,1062.3
1682.7,772.35,1045.65
1709.35,749.85,1070.3
1715.35,743.4,1098.85
1693.35,747.05,1081.8
1714.65,764.7,1092.55
1744.5,765.15,1120.25
1738.6,763,1105.95
1748.55,761.9,1093.65
1790.55,779.5,1090.85
1800.6,827.15,1114.7
1809.2,823.05,1128.7
1788.05,836.1,1162.5
1798.55,854.55,1165.8
1820.1,873.6,1179.75
1830.1,893.7,1191.4
1810.4,925.2,1179
1781.25,954,1182.15
1761.25,918.4,1196.25
1751.05,861.25,1175.95
1753.55,872.4,1180.35
1746.35,854.9,1201.05
1742.95,861.85,1200.05
1758.65,859.4,1204.85
1744.3,853.7,1206.35
1752.2,841.1,1224.2
1751.45,848.6,1247.9
1755.25,871.7,1290.9
1773.95,870.5,1270.9
1772.1,881.25,1299.45
1786.4,883.1,1302.9
1769.25,920.65,1329.7
1759.1,858.85,1303.5
1788.05,858.4,1332.2
1809.85,847.9,1274.55
